CHR,LOC_NUM,GWAS,GENE
chr1,1,META6,MIR761
chr1,1,META6,KTI12
chr1,1,META6,CZIB
chr1,1,META6,LOC100507564
chr1,1,META6,SLC25A3P1
chr1,1,META6,NRDC
chr1,1,META6,RAB3B
chr1,1,META6,TXNDC12-AS1
chr1,1,META6,BTF3L4
chr1,1,META6,CC2D1B
chr1,1,META6,ORC1
chr1,1,META6,PRPF38A
chr1,1,META6,SHISAL2A
chr1,1,META6,GPX7
chr1,1,META6,ZYG11A
chr1,1,META6,ECHDC2
chr1,1,META6,SCP2
chr1,1,META6,SLC1A7
chr1,1,META6,CPT2
chr1,1,META6,LINC01771
chr1,1,META6,LRP8
chr1,1,META6,MAGOH
chr1,1,META6,DMRTB1
chr1,1,META6,OSBPL9
chr1,1,META6,TXNDC12
chr1,1,META6,ZFYVE9
chr1,1,META6,PODN
chr1,1,META6,COA7
chr1,1,META6,ZYG11B
chr1,1,META6,GLIS1
chr1,1,META6,TUT4
chr1,2,META6,CHIAP2
chr1,2,META6,PIFO
chr1,2,META6,PGBP
chr1,2,META6,ADORA3
chr1,2,META6,LOC107985184
chr1,2,META6,INKA2-AS1
chr1,2,META6,DDX20
chr1,2,META6,KCND3-IT1
chr1,2,META6,KCND3-AS1
chr1,2,META6,LINC01750
chr1,2,META6,MIR4256
chr1,2,META6,PPM1J
chr1,2,META6,MIR11399
chr1,2,META6,AKR7A2P1
chr1,2,META6,SLC16A1-AS1
chr1,2,META6,DRAM2
chr1,2,META6,CHI3L2
chr1,2,META6,DENND2D
chr1,2,META6,CHIA
chr1,2,META6,WDR77
chr1,2,META6,C1orf162
chr1,2,META6,OVGP1
chr1,2,META6,TMIGD3
chr1,2,META6,ATP5PB
chr1,2,META6,LINC01160
chr1,2,META6,INKA2
chr1,2,META6,LOC101928718
chr1,2,META6,WNT2B
chr1,2,META6,MOV10
chr1,2,META6,CAPZA1
chr1,2,META6,RHOC
chr1,2,META6,LINC01356
chr1,2,META6,SLC16A1
chr1,2,META6,LRIG2-DT
chr1,2,META6,KCND3
chr1,2,META6,RAP1A
chr1,2,META6,ST7L
chr1,2,META6,LRIG2
chr1,2,META6,CTTNBP2NL
chr1,2,META6,TAFA3
chr1,2,META6,CEPT1
chr1,3,META6,SNORA58B
chr1,3,META6,HAX1
chr1,3,META6,AQP10
chr1,3,META6,UBE2Q1-AS1
chr1,3,META6,CHRNB2
